Plot Title: 20169122,,,,,,,,,,
#,"Date Time, GMT-04:00","Pressure, in Hg (LGR S/N: 20169122, SEN S/N: 20024877)","Wind Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Gust Speed, mph (LGR S/N: 20169122, SEN S/N: 20167354)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20177195)","Wind Direction, ø (LGR S/N: 20169122, SEN S/N: 20177663)","Rain, in (LGR S/N: 20169122, SEN S/N: 20192321)","PAR, µmol/m²/s (LGR S/N: 20169122, SEN S/N: 20490839)","Temp, °F (LGR S/N: 20169122, SEN S/N: 20674472, LBL: Air Temperature)","RH, % (LGR S/N: 20169122, SEN S/N: 20674472)"
1,8/31/2020 15:39,29.9065,,,66.729,310.3,,643.7,75.594,50.4
2,8/31/2020 15:40,29.9035,,,66.729,307.5,,526.2,75.029,49.3
3,8/31/2020 15:41,29.9035,,,66.772,310.3,,543.7,74.554,50.6
4,8/31/2020 15:42,29.9035,,,66.772,310.3,,1013.7,74.511,53.2
5,8/31/2020 15:43,29.9065,,,66.772,304.7,,1066.2,74.338,51.6
6,8/31/2020 15:44,29.9065,,,66.772,304.7,,918.7,74.77,55.4
7,8/31/2020 15:45,29.9065,,,66.814,304.7,,1078.7,74.986,55.6
8,8/31/2020 15:46,29.9065,,,66.814,304.7,,1111.2,75.42,54.4
9,8/31/2020 15:47,29.9094,,,66.814,304.7,,1288.7,75.681,55.5
10,8/31/2020 15:48,29.9065,,,66.814,303.2,,1261.2,75.898,52.3
11,8/31/2020 15:49,29.9065,,,66.857,301.8,,728.7,76.158,52.8
12,8/31/2020 15:50,29.9094,,,66.857,297.6,,676.2,75.898,52.1
13,8/31/2020 15:51,29.9065,,,66.857,296.2,,646.2,75.333,50.3
14,8/31/2020 15:52,29.9094,,,66.857,294.8,,658.7,75.029,52.2
15,8/31/2020 15:53,29.9065,,,66.857,294.8,,648.7,74.77,52.2
16,8/31/2020 15:54,29.9094,,,66.9,294.8,,771.2,74.813,54.8
17,8/31/2020 15:55,29.9065,,,66.9,296.2,,708.7,74.813,53.7
18,8/31/2020 15:56,29.9094,,,66.9,299,,736.2,74.683,55.4
19,8/31/2020 15:57,29.9065,,,66.9,299,,763.7,74.64,54.5
20,8/31/2020 15:58,29.9094,,,66.943,299,,703.7,74.597,53.9
21,8/31/2020 15:59,29.9094,,,66.943,300.4,,773.7,74.511,56.3
22,8/31/2020 16:00,29.9094,,,66.943,300.4,,826.2,74.424,54.6
23,8/31/2020 16:01,29.9065,,,66.943,299,,823.7,74.338,54.7
24,8/31/2020 16:02,29.9094,,,66.943,296.2,,713.7,74.295,53.4
25,8/31/2020 16:03,29.9124,,,66.943,304.7,,708.7,74.295,55.9
26,8/31/2020 16:04,29.9065,,,66.985,303.2,,618.7,74.206,54.2
27,8/31/2020 16:05,29.9094,,,66.985,303.2,,626.2,74.034,55.7
28,8/31/2020 16:06,29.9065,,,66.985,303.2,,556.2,73.904,57.2
29,8/31/2020 16:07,29.9094,,,66.985,299,,663.7,73.861,58.1
30,8/31/2020 16:08,29.9035,,,67.028,300.4,,661.2,73.861,54
31,8/31/2020 16:09,29.9035,,,67.028,300.4,,586.2,73.861,55.5
32,8/31/2020 16:10,29.9035,,,67.028,300.4,,558.7,73.818,55.2
33,8/31/2020 16:11,29.9065,,,67.028,300.4,,598.7,73.861,54.2
34,8/31/2020 16:12,29.9065,,,67.028,300.4,,721.2,73.818,55.9
35,8/31/2020 16:13,29.9035,,,67.028,300.4,,768.7,73.947,56.3
36,8/31/2020 16:14,29.8976,,,67.071,296.2,,958.7,74.077,55.6
37,8/31/2020 16:15,29.9006,,,67.071,294.8,,1001.2,74.25,53.8
38,8/31/2020 16:16,29.9006,,,67.071,294.8,,873.7,74.338,54.4
