datetime,airtemp_F,rh,par_umolm2sec,soiltemp_F
7/31/19 9:16,64.288,69.3,1.2,64.375
7/31/19 9:16,64.288,69.3,1.2,64.247
7/31/19 9:16,64.332,69.3,1.2,64.288
7/31/19 9:16,64.288,69.2,1.2,64.288
7/31/19 9:16,64.332,69.2,1.2,64.288
7/31/19 9:16,64.332,69.2,1.2,64.288
7/31/19 9:16,64.288,69.2,1.2,64.288
7/31/19 9:16,64.332,69.2,1.2,64.288
7/31/19 9:16,64.332,69.2,1.2,64.288
7/31/19 9:16,64.332,69.2,1.2,64.288
7/31/19 9:16,64.332,69.2,1.2,64.288
7/31/19 9:16,64.332,69.2,1.2,64.288
7/31/19 9:16,64.332,69.2,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.2,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.332
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.332
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.332
7/31/19 9:16,64.332,69.1,1.2,64.332
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.332
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.332
7/31/19 9:16,64.332,69.1,1.2,64.288
7/31/19 9:16,64.332,69.1,1.2,64.332
7/31/19 9:17,64.332,69.1,1.2,64.288
7/31/19 9:17,64.332,69.1,1.2,64.288
7/31/19 9:17,64.332,69.1,1.2,64.332
7/31/19 9:17,64.375,69.1,1.2,64.332
7/31/19 9:17,64.332,69.1,1.2,64.288
7/31/19 9:17,64.375,69,1.2,64.288
7/31/19 9:17,64.375,69.1,1.2,64.332
7/31/19 9:17,64.375,69.1,1.2,64.288
7/31/19 9:17,64.375,69.1,1.2,64.332
7/31/19 9:17,64.375,69,1.2,64.332
7/31/19 9:17,64.375,69,1.2,64.332
7/31/19 9:17,64.332,69.1,1.2,64.332
7/31/19 9:17,64.375,69.1,1.2,64.332
7/31/19 9:17,64.375,69,1.2,64.332
7/31/19 9:17,64.375,69,1.2,64.332
7/31/19 9:17,64.375,69,1.2,64.332
7/31/19 9:17,64.375,69,1.2,64.332
7/31/19 9:17,64.375,69,1.2,64.332
7/31/19 9:17,64.375,69,1.2,64.332
7/31/19 9:17,64.375,69,1.2,64.332
7/31/19 9:17,64.375,69,1.2,64.332
7/31/19 9:17,64.375,69,1.2,64.375
7/31/19 9:17,64.375,69,1.2,64.375
7/31/19 9:17,64.375,69.1,1.2,64.375
7/31/19 9:17,64.375,69,1.2,64.375
7/31/19 9:17,64.375,69,1.2,64.375
7/31/19 9:17,64.375,69.1,1.2,64.375
7/31/19 9:17,64.375,69.1,1.2,64.375
7/31/19 9:17,64.375,69,1.2,64.375
7/31/19 9:17,64.375,69.1,1.2,64.375
7/31/19 9:17,64.375,69.1,1.2,64.418
7/31/19 9:17,64.375,69.1,1.2,64.418
7/31/19 9:17,64.375,69.1,1.2,64.418
7/31/19 9:17,64.375,69.2,1.2,64.459
7/31/19 9:17,64.375,69.2,3.7,64.459
7/31/19 9:17,64.418,69.2,3.7,64.503
7/31/19 9:17,64.418,69.3,3.7,64.546
7/31/19 9:17,64.418,69.3,1.2,64.589
7/31/19 9:17,64.418,69.3,1.2,64.632
7/31/19 9:17,64.418,69.4,1.2,64.674
7/31/19 9:17,64.418,69.3,6.2,64.717
7/31/19 9:17,64.418,69.3,3.7,64.76
7/31/19 9:17,64.459,69.4,1.2,64.803
7/31/19 9:17,64.459,69.4,1.2,64.845
7/31/19 9:17,64.459,69.4,1.2,64.845
7/31/19 9:17,64.459,69.4,1.2,64.888
7/31/19 9:17,64.503,69.4,1.2,64.931
7/31/19 9:17,64.503,69.4,21.2,64.974
7/31/19 9:17,64.503,69.4,63.7,65.017
7/31/19 9:17,64.503,69.5,183.7,65.059
7/31/19 9:17,64.546,69.5,176.2,65.145
7/31/19 9:17,64.546,69.6,23.7,65.273
7/31/19 9:17,64.546,69.8,3.7,65.487
7/31/19 9:17,64.589,70,6.2,65.701
7/31/19 9:17,64.589,70.2,3.7,65.872
7/31/19 9:17,64.589,70.6,6.2,66.043
7/31/19 9:17,64.632,70.7,6.2,66.13
7/31/19 9:17,64.674,70.9,6.2,66.214
7/31/19 9:17,64.717,71,6.2,66.258
7/31/19 9:17,64.76,71.1,6.2,66.344
7/31/19 9:18,64.803,71.3,6.2,66.344
7/31/19 9:18,64.845,71.5,8.7,66.385
