management,date,Reco_se,NEE_se,Reco_gf_se,NEE_gf_se,month,NEE,NEE_gapfilled,Reco_gapfilled,GPP_gapfilled,air_temperature,air_pressure,RH,VPD,ndvi_era5,RH_era5,precip_era5,airt_era5,year,Reco,GPP,soilt_avg_era5,vwc_avg_era5,doy,current_crop,current_plant_date,current_harvest_date,in_season,crop_type,tillage_event,last_tillage,days_since_tillage,fertilizer_event,last_fertilizer,days_since_fertilizer,herbicide_event,last_herbicide,days_since_herbicide,last_harvest,last_harvest_same_crop,days_since_planting,days_to_harvest,days_since_season_end_harvest,days_since_last_harvest,days_since_last_harvest_same_crop,air_temp_smooth_7,air_temp_smooth_10,ndvi_smooth,soil_temp_smooth,ndvi_slope,crop_stage,crop_stage_simple
conventional,2018-04-30,0.033459320877380024,0.5169342320386413,0.025098813319326795,0.220642225659939,4,1.20998709375,0.9828231675005344,3.2604858333333335,2.2685808333333335,5.7933750000000215,100914.41666666667,79.60117105263159,192.20923421052632,0.4815100863168024,87.4453402202417,1.9117555942215985e-4,4.246415869394962,2018,3.2220378125,2.012055625,4.848574018478417,0.33934741343061126,120,NA,NA,NA,0,NA,1,2018-04-30,0,NA,2018-03-20,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,2018-05-01,0.052011360729825616,0.4255914056459034,0.04905028563758668,0.35813959126232103,5,1.6723384545454545,2.0095325776593542,3.883008333333333,1.9087645833333333,13.321937500000029,101068,58.16735833333334,898.4887875000001,0.4842132843896181,65.2014914675685,6.190485872063318e-6,11.428424135843933,2018,3.881459318181818,2.209122727272727,7.82777024904889,0.3281496924658616,121,NA,NA,NA,0,NA,1,2018-05-01,0,NA,2018-03-20,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,2018-05-02,0.049589697806134904,0.5658960409885507,0.04619995425951806,0.3614209881232532,5,4.147737973684211,3.2699885108266913,4.4845,0.6219534374999998,21.992979166666682,100894.29166666667,36.73440416666667,2056.892083333333,0.4860133809782804,55.19756737828959,3.551442991541384e-8,17.95792986551923,2018,4.550449210526316,0.40271723684210503,12.32701183954877,0.3120920658111572,122,NA,NA,NA,0,NA,NA,2018-05-01,1,NA,2018-03-20,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,2018-05-03,0.025161078821107782,0.5853653324341311,0.022504170985212454,0.3109484282619753,5,3.897031951219512,2.8279756550074593,4.723583333333333,1.0096039583333334,23.279750000000025,100733.75,57.46667083333333,1360.5206625,0.48684242586946624,73.81555933163736,1.8928475934624396e-4,19.754393672943134,2018,4.725132682926829,0.8281036585365854,15.200279887517318,0.3037216054896514,123,NA,NA,NA,0,NA,NA,2018-05-01,2,NA,2018-03-20,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,2018-05-04,0.014665489928099346,0.33946176708608,0.013465810409523259,0.2644665251615986,5,4.539484186046511,4.048581958307369,4.592440833333334,0.031693541666666734,22.374770833333358,100430.10625,74.23644583333333,768.1791645833333,0.48663246884985234,80.84813931322896,1.548585295149474e-4,19.73184897104901,2018,4.592592790697674,0.05310944186046502,16.177690362930317,0.3174758367240429,124,NA,NA,NA,0,NA,NA,2018-05-01,3,NA,2018-03-20,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,2018-05-05,0.023346876391293743,0.29311957240905695,0.023346876391293743,0.24246009904598984,5,2.5803866041666668,2.190819470464189,4.205934583333334,1.6255535833333334,18.445729166666688,101016.58333333333,41.934477083333334,1324.4562916666666,0.4853155597061156,57.29526951494812,1.4303034134854897e-7,14.197616195678739,2018,4.205934583333334,1.6255535833333334,14.133888737360655,0.30456410472591716,125,NA,NA,NA,0,NA,NA,2018-05-01,4,NA,2018-03-20,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fallow,fallow
conventional,2018-05-06,0.011927839710103074,0.4035965510734014,0.01087342928959951,0.15477575500392876,5,3.387862861111111,3.1162881913403466,3.9975127083333333,0.7754366874999998,14.452416666666688,100955.58333333333,86.24360681818182,272.7629911363636,0.4828237482249328,92.12728474069588,4.7125848997116396e-4,12.34555571873985,2018,4.006780555555555,0.6189180000000001,12.351851161321026,0.31782677024602896,126,NA,NA,NA,0,NA,NA,2018-05-01,5,NA,2018-03-20,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.237454918452695,NA,0.48476442204786685,11.838152322315056,2.4159372246278896e-4,fallow,fallow
conventional,2018-05-07,0.022749923572078532,0.47433138345387266,0.02029058465411463,0.19523632119135742,5,1.5498962851428573,1.548972596322805,3.8851808333333335,2.1644571666666668,13.772437500000025,101231.375,63.649285,684.7661,0.47908908419298085,71.32482445303211,2.2701133275404577e-6,12.974133904775005,2018,3.9296562857142856,2.3797724,11.841123914718649,0.3225857168436051,127,NA,NA,NA,0,NA,NA,2018-05-01,6,NA,2018-03-20,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.484271780649843,NA,0.4844185646016066,12.837088021777946,-8.313832949984609e-4,fallow,fallow
conventional,2018-05-08,0.02819373702488855,0.4375482842113531,0.02387774929555537,0.2788937812214165,5,1.971373657142857,1.7168745164230397,3.778830833333333,1.92939375,15.47393750000002,101689.60416666667,48.579008333333334,1062.3048791666668,0.47404361739693646,69.4501515245041,9.731350777049859e-7,13.93819119135541,2018,3.810934,1.839562857142857,12.008151467641218,0.30708138023813564,128,NA,NA,NA,0,NA,NA,2018-05-01,7,NA,2018-03-20,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.842809931437197,NA,0.4829657550312235,13.434285338719707,-0.0019723105257829047,fallow,fallow
conventional,2018-05-09,0.028076053088774578,0.2848547885461898,0.02732158442139673,0.25167495131714385,5,2.5105799130434785,2.020087087281111,3.699901666666667,1.2690613541666667,19.088958333333363,101367.33333333333,52.412677083333335,1274.1250166666666,0.46763382475434845,68.04526855745107,2.1147570805624134e-8,15.704664961497013,2018,3.702159347826087,1.1915770652173912,13.574881966908801,0.2945941388607025,129,NA,NA,NA,0,NA,NA,2018-05-01,8,NA,2018-03-20,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.52091494514831,14.227917448679628,0.4803401041420904,13.612552499771141,-0.00317964220586854,fallow,fallow
