"","management","date","year","month","Rs_umolm2sec_mean","Rs_daily_se","NEE_umolm2sec_mean","NEE_daily_se","n_collars","airtempC_mean","soilm_perc_mean","spad_mean","NDVI_mean","current_crop","crop_stage","crop_stage_simple","month_num","doy"
"1","conventional",2019-04-16,"2019","Apr",0.839776440966265,0.0460237569328316,0.920395318516847,0.0486371994814262,5,10.555,18.125,NA,NA,NA,"fallow","fallow",4,106
"2","conventional",2019-04-22,"2019","Apr",1.04921501076361,0.110820670548666,1.1066594615146,0.0702093708867481,5,17.5,17.57,NA,NA,NA,"fallow","fallow",4,112
"3","conventional",2019-05-01,"2019","May",0.879099796611071,0.095636745951156,0.750842646260775,0.112439339585004,5,12.5,18.43,NA,NA,NA,"fallow","fallow",5,121
"4","conventional",2019-05-21,"2019","May",-0.301984447780704,0.355811733562147,0.602475456860141,0.125518501194818,5,19.985,15.03,NA,NA,NA,"fallow","fallow",5,141
"5","conventional",2019-05-29,"2019","May",1.40015120677329,0.17135508911324,1.2640673872536,0.0911521596938201,5,20.28,21.3125,NA,NA,NA,"fallow","fallow",5,149
"6","conventional",2019-06-02,"2019","Jun",1.7711941097636,0.145761051467099,1.77953998291846,0.267916690510662,5,21.945,11.7875,NA,NA,"soybean","emergence","early",6,153
"7","conventional",2019-06-11,"2019","Jun",2.9874090953872,0.140004399710397,2.04805994923535,0.781050486338314,5,21.945,15.68,NA,NA,"soybean","vegetative","vegetative",6,162
"8","conventional",2019-06-23,"2019","Jun",2.85228899860965,0.436107704162114,-1.370270117473,2.7981695044084,5,24.725,11.75,NA,NA,"soybean","vegetative","vegetative",6,174
"9","conventional",2019-07-08,"2019","Jul",8.20887625242416,2.81670407739869,-2.39777012490361,4.13297091393724,5,26.11,8.7,NA,NA,"soybean","vegetative","vegetative",7,189
"10","conventional",2019-07-25,"2019","Jul",14.5255590969306,3.22583884971533,-13.3918551668164,3.95482793612972,5,26.11,12.36,NA,NA,"soybean","flowering","reproductive",7,206
"11","conventional",2019-07-29,"2019","Jul",13.156536548313,2.60778954500237,-8.9586654256315,0.959715722766953,5,30.41625,2.9,37.9125,0.7975,"soybean","pod_development","grain_fill",7,210
"12","conventional",2019-08-06,"2019","Aug",29.7585277001454,4.71242708409078,-6.8568053010673,0.565639338092442,5,27.003,4.14,41.23,0.804,"soybean","pod_development","grain_fill",8,218
"13","conventional",2019-08-11,"2019","Aug",28.0320840651047,7.07658052318756,5.84440004608426,2.61878566575408,5,26.9416666666667,2.46666666666667,38.15,0.7,"soybean","seed_fill","grain_fill",8,223
"14","conventional",2019-08-15,"2019","Aug",20.4031647177504,4.08384804802797,-0.893804643856556,0.989013831198416,5,26.25125,3.5125,42.8375,0.7325,"soybean","seed_fill","grain_fill",8,227
"15","conventional",2019-08-18,"2019","Aug",30.0880470843087,5.55829609951827,-6.93224653818429,1.08518622450708,5,29.58375,16.35,41.6875,0.8325,"soybean","seed_fill","grain_fill",8,230
"16","conventional",2019-08-29,"2019","Aug",24.1814257562451,3.76971266282204,-6.06586058811123,1.13885067459946,5,24.225,4.89,40.52,0.777,"soybean","seed_fill","grain_fill",8,241
"17","conventional",2019-09-04,"2019","Sep",20.1275509038867,1.52810560982829,-19.943822218184,4.34552175826004,5,19.0275,4.925,43.1375,0.75625,"soybean","seed_fill","grain_fill",9,247
"18","conventional",2019-09-15,"2019","Sep",16.0849280955199,1.26238700627136,-4.86730745826589,2.10713031508603,5,17.71125,9.1625,17.3875,0.6525,"soybean","maturity","mature",9,258
"19","conventional",2019-09-26,"2019","Sep",8.35103907847305,0.603013931097987,8.01373114318476,0.720236069044061,5,17.889,9.25,9.25,0.247,"soybean","maturity","mature",9,269
