date,ndvi,soilt_avg,stage
11/11/19,0.26484521,3.586994505,germination/emergence
11/12/19,0.267634681,2.932487106,germination/emergence
11/13/19,0.269020026,0.055509106,germination/emergence
11/14/19,0.268713821,-0.595214748,germination/emergence
11/15/19,0.266428643,-0.118225161,germination/emergence
11/16/19,0.261877068,0.058037615,germination/emergence
11/17/19,0.254794359,-0.366281096,germination/emergence
11/18/19,0.24517306,-0.080344025,germination/emergence
11/19/19,0.233268916,0.672829803,fall tillering
11/20/19,0.219362328,1.108398056,fall tillering
11/21/19,0.203733697,1.516459084,fall tillering
11/22/19,0.186663423,2.615562852,fall tillering
11/23/19,0.168431906,1.468355592,fall tillering
11/24/19,0.149319548,1.545257187,fall tillering
11/25/19,0.129606749,2.536627865,fall tillering
11/26/19,0.10957391,3.476748641,fall tillering
11/27/19,0.08950143,3.992744462,fall tillering
11/28/19,0.069669712,3.670985794,fall tillering
11/29/19,0.050359154,1.332022603,fall tillering
11/30/19,0.031850159,0.439645306,dormant
12/1/19,0.014423126,-0.188924535,dormant
12/2/19,-0.001641544,-0.114056015,dormant
12/3/19,-0.016075124,0.092504358,dormant
12/4/19,-0.028741292,0.298363543,dormant
12/5/19,-0.039639176,0.551494058,dormant
12/6/19,-0.048780592,0.787968175,dormant
12/7/19,-0.056177356,0.989929851,dormant
12/8/19,-0.061841285,0.924847778,dormant
12/9/19,-0.065784193,1.229407803,dormant
12/10/19,-0.068017897,1.600167211,dormant
12/11/19,-0.068554214,0.80194602,dormant
12/12/19,-0.067404958,0.321630732,dormant
12/13/19,-0.064581946,0.238262033,dormant
12/14/19,-0.060096994,2.040790971,dormant
12/15/19,-0.053961918,1.998147583,dormant
12/16/19,-0.046188534,0.344368712,dormant
12/17/19,-0.036788657,-0.147613668,dormant
12/18/19,-0.025774105,-0.146487617,dormant
12/19/19,-0.013165961,-0.336124563,dormant
12/20/19,0.000909555,-0.502350394,dormant
12/21/19,0.016218674,-0.578090413,dormant
12/22/19,0.032517553,-0.52159578,dormant
12/23/19,0.049562348,-0.33274196,dormant
12/24/19,0.067109215,-0.081270679,dormant
12/25/19,0.08491431,-0.395093584,dormant
12/26/19,0.10273379,-0.367728297,dormant
12/27/19,0.12032381,0.39232049,dormant
12/28/19,0.137440528,0.806005335,dormant
12/29/19,0.153840098,0.418917751,dormant
12/30/19,0.169278678,0.35185593,dormant
12/31/19,0.183512424,0.392433898,dormant
1/1/20,0.196310512,0.190582053,dormant
1/2/20,0.2075898,0.061965879,dormant
1/3/20,0.217418222,0.771593428,dormant
1/4/20,0.225877866,1.488372819,dormant
1/5/20,0.233050818,0.590657489,dormant
1/6/20,0.239019165,0.070772425,dormant
1/7/20,0.243864992,-0.066787465,dormant
1/8/20,0.247670387,-0.222956324,dormant
1/9/20,0.250517437,-0.838866297,dormant
1/10/20,0.252488227,-0.676738803,dormant
1/11/20,0.253664845,2.325851615,dormant
1/12/20,0.254129377,5.693917211,spring growth
1/13/20,0.253963909,1.596719122,spring growth
1/14/20,0.253250529,1.300848738,spring growth
1/15/20,0.252071323,1.94389472,spring growth
1/16/20,0.250508377,0.917834298,spring growth
1/17/20,0.248642169,-1.022253259,spring growth
1/18/20,0.246534922,-1.961282714,spring growth
1/19/20,0.244230183,-1.156043514,spring growth
1/20/20,0.241769753,-1.295712455,spring growth
1/21/20,0.23919543,-1.493983332,spring growth
1/22/20,0.236549013,-1.462663953,spring growth
1/23/20,0.233872302,-1.292202218,spring growth
1/24/20,0.231207097,-1.078659519,spring growth
1/25/20,0.228595196,-0.796653175,spring growth
1/26/20,0.226078398,-0.497664754,spring growth
1/27/20,0.223698503,-0.508282566,spring growth
1/28/20,0.22149731,-0.577060286,spring growth
1/29/20,0.219516619,-0.794704898,spring growth
1/30/20,0.217798228,-1.149199947,spring growth
1/31/20,0.216383936,-1.139878337,spring growth
2/1/20,0.215315544,-0.846033319,spring growth
2/2/20,0.21463159,-0.804766003,spring growth
2/3/20,0.214333634,-0.782414023,spring growth
2/4/20,0.21438541,-0.460051759,spring growth
2/5/20,0.214747107,-0.277743403,spring growth
2/6/20,0.215378913,-0.479268535,spring growth
2/7/20,0.216241019,-0.4059189,spring growth
2/8/20,0.217293613,-0.663145288,spring growth
2/9/20,0.218496883,-0.885060294,spring growth
2/10/20,0.219811021,-0.669862413,spring growth
2/11/20,0.221196213,-0.512539132,spring growth
2/12/20,0.22261265,-0.448137108,spring growth
2/13/20,0.224020521,-0.386492952,spring growth
2/14/20,0.225380015,-0.530161047,spring growth
2/15/20,0.226651321,-0.867553218,spring growth
2/16/20,0.227794627,-0.790921434,spring growth
2/17/20,0.228770124,-0.733208084,spring growth
2/18/20,0.229540736,-0.732523187,spring growth
2/19/20,0.23010042,-0.634197299,spring growth
2/20/20,0.230474876,-0.801029189,spring growth
2/21/20,0.23069278,-1.092785899,spring growth
2/22/20,0.230782805,-0.987621768,spring growth
2/23/20,0.230773628,-0.814058526,spring growth
2/24/20,0.230693922,-0.425634527,spring growth
2/25/20,0.230572362,-0.057024542,spring growth
2/26/20,0.230437624,0.075696325,spring growth
2/27/20,0.230318381,0.176409817,spring growth
2/28/20,0.230243309,-0.429452006,spring growth
2/29/20,0.230241082,-0.838404481,spring growth
3/1/20,0.230340375,-1.240318759,spring growth
3/2/20,0.230569863,-0.821232462,spring growth
3/3/20,0.230958221,0.866421715,spring growth
3/4/20,0.231534123,0.9988657,spring growth
3/5/20,0.232323797,0.760646041,spring growth
3/6/20,0.233325731,0.334860738,spring growth
3/7/20,0.234510027,0.199700451,spring growth
3/8/20,0.235844132,0.485411263,spring growth
3/9/20,0.237295492,3.038488801,spring growth
3/10/20,0.238831553,4.930897411,spring growth
3/11/20,0.24041976,3.826162831,spring growth
3/12/20,0.24202756,2.743593232,spring growth
3/13/20,0.243622398,4.270917352,spring growth
3/14/20,0.24517172,3.29787995,spring growth
3/15/20,0.246642973,2.327389971,spring growth
3/16/20,0.248003601,0.884844081,spring growth
3/17/20,0.249221051,1.517811076,spring growth
3/18/20,0.250262769,2.713200982,spring growth
3/19/20,0.2510962,2.525988436,rapid growth
3/20/20,0.251688791,5.901161687,rapid growth
3/21/20,0.252010851,4.198436832,rapid growth
3/22/20,0.252065176,1.370632664,rapid growth
3/23/20,0.251887791,0.663128471,rapid growth
3/24/20,0.251517836,0.921551641,rapid growth
3/25/20,0.25099445,0.803319391,rapid growth
3/26/20,0.250356773,2.072571135,rapid growth
3/27/20,0.249643945,4.669147348,termination
