datetime,airtemp_F,rh,par_umolm2sec,soiltemp_F
10/24/19 8:54,72.567,35.3,1.2,72.05
10/24/19 8:54,72.567,35.3,1.2,72.007
10/24/19 8:54,72.567,35.3,1.2,72.007
10/24/19 8:54,72.523,35.3,1.2,72.007
10/24/19 8:54,72.523,35.4,1.2,71.964
10/24/19 8:54,72.523,35.3,1.2,72.007
10/24/19 8:54,72.523,35.4,1.2,72.007
10/24/19 8:54,72.523,35.4,1.2,72.007
10/24/19 8:54,72.523,35.4,1.2,71.964
10/24/19 8:54,72.523,35.4,1.2,72.007
10/24/19 8:54,72.523,35.4,1.2,72.007
10/24/19 8:54,72.523,35.4,1.2,71.964
10/24/19 8:54,72.523,35.4,1.2,71.964
10/24/19 8:54,72.523,35.4,1.2,72.007
10/24/19 8:54,72.48,35.4,1.2,71.964
10/24/19 8:54,72.48,35.4,1.2,71.964
10/24/19 8:54,72.48,35.4,1.2,71.964
10/24/19 8:54,72.48,35.4,1.2,71.964
10/24/19 8:54,72.48,35.4,1.2,71.964
10/24/19 8:54,72.48,35.4,1.2,71.964
10/24/19 8:54,72.48,35.4,1.2,71.964
10/24/19 8:54,72.48,35.4,1.2,71.964
10/24/19 8:54,72.48,35.4,1.2,71.964
10/24/19 8:54,72.48,35.3,1.2,71.964
10/24/19 8:54,72.437,35.3,1.2,71.964
10/24/19 8:54,72.437,35.3,1.2,71.964
10/24/19 8:54,72.437,35.4,1.2,71.964
10/24/19 8:54,72.437,35.4,1.2,71.964
10/24/19 8:54,72.437,35.4,1.2,71.964
10/24/19 8:54,72.437,35.4,1.2,71.964
10/24/19 8:54,72.437,35.4,1.2,71.964
10/24/19 8:54,72.437,35.4,1.2,71.964
10/24/19 8:54,72.437,35.4,1.2,71.964
10/24/19 8:54,72.394,35.4,1.2,71.964
10/24/19 8:54,72.394,35.4,1.2,71.964
10/24/19 8:54,72.394,35.4,1.2,71.964
10/24/19 8:54,72.394,35.4,1.2,71.964
10/24/19 8:54,72.394,35.4,1.2,71.964
10/24/19 8:54,72.394,35.4,1.2,71.964
10/24/19 8:54,72.394,35.4,1.2,71.964
10/24/19 8:54,72.394,35.4,1.2,71.964
10/24/19 8:54,72.394,35.4,1.2,71.964
10/24/19 8:54,72.351,35.4,1.2,71.964
10/24/19 8:54,72.351,35.4,1.2,71.964
10/24/19 8:55,72.351,35.4,1.2,71.964
10/24/19 8:55,72.351,35.4,1.2,71.92
10/24/19 8:55,72.351,35.4,1.2,71.964
10/24/19 8:55,72.351,35.4,1.2,71.964
10/24/19 8:55,72.351,35.3,1.2,71.964
10/24/19 8:55,72.351,35.4,1.2,71.92
10/24/19 8:55,72.351,35.4,1.2,71.964
10/24/19 8:55,72.351,35.4,1.2,71.92
10/24/19 8:55,72.307,35.4,1.2,71.92
10/24/19 8:55,72.307,35.4,1.2,71.964
10/24/19 8:55,72.307,35.4,1.2,71.964
10/24/19 8:55,72.307,35.4,1.2,71.92
10/24/19 8:55,72.307,35.4,1.2,71.964
10/24/19 8:55,72.307,35.4,1.2,71.92
10/24/19 8:55,72.307,35.4,1.2,71.92
10/24/19 8:55,72.307,35.4,1.2,71.92
10/24/19 8:55,72.307,35.4,1.2,71.92
10/24/19 8:55,72.264,35.4,1.2,71.92
10/24/19 8:55,72.264,35.4,1.2,71.92
10/24/19 8:55,72.264,35.4,1.2,71.92
10/24/19 8:55,72.264,35.4,1.2,71.92
10/24/19 8:55,72.264,35.4,1.2,71.92
10/24/19 8:55,72.264,35.4,1.2,71.92
10/24/19 8:55,72.264,35.4,1.2,71.92
10/24/19 8:55,72.264,35.4,1.2,71.92
