"Date Time, GMT-04:00","Temp, °F (LGR S/N: 20205284, SEN S/N: 20168088, LBL: Air Temperature)","RH, % (LGR S/N: 20205284, SEN S/N: 20168088)","PAR, µmol/m²/s (LGR S/N: 20205284, SEN S/N: 20189138)","Temp, °F (LGR S/N: 20205284, SEN S/N: 20245643, LBL: Soil Temperature)"
4/16/2020 9:51,62.319,27.8,1.2,62.406
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.7,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.7,1.2,62.233
4/16/2020 9:51,62.319,27.7,1.2,62.233
4/16/2020 9:51,62.319,27.7,1.2,62.233
4/16/2020 9:51,62.319,27.7,1.2,62.233
4/16/2020 9:51,62.319,27.7,1.2,62.233
4/16/2020 9:51,62.362,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.7,1.2,62.233
4/16/2020 9:51,62.362,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.7,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.7,1.2,62.233
4/16/2020 9:51,62.362,27.8,1.2,62.233
4/16/2020 9:51,62.362,27.8,1.2,62.233
4/16/2020 9:51,62.319,27.7,1.2,62.233
4/16/2020 9:51,62.362,27.8,1.2,62.233
4/16/2020 9:51,62.362,27.7,1.2,62.233
4/16/2020 9:51,62.362,27.7,1.2,62.233
4/16/2020 9:51,62.362,27.7,1.2,62.233
4/16/2020 9:51,62.319,27.8,1.2,62.233
4/16/2020 9:51,62.362,27.8,1.2,62.233
4/16/2020 9:51,62.362,27.7,1.2,62.233
4/16/2020 9:51,62.362,27.8,1.2,62.233
4/16/2020 9:51,62.362,27.8,3.7,62.233
4/16/2020 9:51,62.362,27.7,1.2,62.276
4/16/2020 9:51,62.362,27.8,3.7,62.276
4/16/2020 9:52,62.362,27.8,3.7,62.276
4/16/2020 9:52,62.362,27.8,1.2,62.276
4/16/2020 9:52,62.362,27.8,11.2,62.233
4/16/2020 9:52,62.362,27.8,6.2,62.233
4/16/2020 9:52,62.362,27.8,3.7,62.233
4/16/2020 9:52,62.362,27.8,3.7,62.233
4/16/2020 9:52,62.362,27.7,1.2,62.233
4/16/2020 9:52,62.362,27.7,1.2,62.233
4/16/2020 9:52,62.362,27.7,1.2,62.233
4/16/2020 9:52,62.362,27.7,1.2,62.233
4/16/2020 9:52,62.362,27.7,1.2,62.191
4/16/2020 9:52,62.362,27.7,1.2,62.191
4/16/2020 9:52,62.362,27.7,1.2,62.148
4/16/2020 9:52,62.362,27.7,1.2,62.148
4/16/2020 9:52,62.362,27.7,3.7,62.148
4/16/2020 9:52,62.362,27.7,33.7,62.105
4/16/2020 9:52,62.362,27.6,801.2,62.062
4/16/2020 9:52,62.362,27.6,981.2,61.891
4/16/2020 9:52,62.362,27.6,118.7,61.633
